1749896838306|6|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`categories` where 1=0|select * from `CourseHub`.`categories` where 1=0
1749896838318|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`discounts` where 1=0|select * from `CourseHub`.`discounts` where 1=0
1749896838330|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749896838336|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838348|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`comments` where 1=0|select * from `CourseHub`.`comments` where 1=0
1749896838355|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838365|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`comments` where 1=0|select * from `CourseHub`.`comments` where 1=0
1749896838371|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`lessons` where 1=0|select * from `CourseHub`.`lessons` where 1=0
1749896838375|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838383|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749896838386|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`discounts` where 1=0|select * from `CourseHub`.`discounts` where 1=0
1749896838395|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`categories` where 1=0|select * from `CourseHub`.`categories` where 1=0
1749896838402|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838413|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749896838418|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838428|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`modules` where 1=0|select * from `CourseHub`.`modules` where 1=0
1749896838438|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749896838446|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749896838449|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`discounts` where 1=0|select * from `CourseHub`.`discounts` where 1=0
1749896838453|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838461|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`comments` where 1=0|select * from `CourseHub`.`comments` where 1=0
1749896838465|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838469|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838474|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838485|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749896838490|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838500|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`discounts` where 1=0|select * from `CourseHub`.`discounts` where 1=0
1749896838505|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838513|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`lessons` where 1=0|select * from `CourseHub`.`lessons` where 1=0
1749896838518|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749896838527|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`roles` where 1=0|select * from `CourseHub`.`roles` where 1=0
1749897845494|10|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`categories` where 1=0|select * from `CourseHub`.`categories` where 1=0
1749897845508|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`discounts` where 1=0|select * from `CourseHub`.`discounts` where 1=0
1749897845526|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749897845534|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749897845554|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`comments` where 1=0|select * from `CourseHub`.`comments` where 1=0
1749897845559|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749897845571|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`comments` where 1=0|select * from `CourseHub`.`comments` where 1=0
1749897845579|3|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`lessons` where 1=0|select * from `CourseHub`.`lessons` where 1=0
1749897845585|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749897845598|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749897845604|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`discounts` where 1=0|select * from `CourseHub`.`discounts` where 1=0
1749897845618|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`categories` where 1=0|select * from `CourseHub`.`categories` where 1=0
1749897845626|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749897845639|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749897845646|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749897845663|4|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`modules` where 1=0|select * from `CourseHub`.`modules` where 1=0
1749897845679|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749897845691|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`courses` where 1=0|select * from `CourseHub`.`courses` where 1=0
1749897845699|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`discounts` where 1=0|select * from `CourseHub`.`discounts` where 1=0
1749897845707|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749897845723|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`comments` where 1=0|select * from `CourseHub`.`comments` where 1=0
1749897845731|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
1749897845738|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3307/CourseHub|select * from `CourseHub`.`users` where 1=0|select * from `CourseHub`.`users` where 1=0
